id	meterial1	item2	random
231	500054,2	500055	80
232	500055,2	500056	80
233	500056,2	500057	80
234	500057,2	500058	80
235	500058,2	500059	80
236	500059,2	500060	80
237	600001,2	600002	100
238	600002,2	600003	100
239	600003,2	600004	100
240	600004,2	600005	100
241	600005,2	600006	100
242	600006,2	600007	100
243	600007,2	600008	100
244	600008,2	600009	100
245	600009,2	600010	100
246	600010,2	600011	100
247	600011,2	600012	90
248	600012,2	600013	90
249	600013,2	600014	90
250	600014,2	600015	90
251	600015,2	600016	90
252	600016,2	600017	85
253	600017,2	600018	85
254	600018,2	600019	85
255	600019,2	600020	85
256	600020,2	600021	80
257	600021,2	600022	80
258	600022,2	600023	80
259	600023,2	600024	80
260	600024,2	600025	80
261	600025,2	600026	80
262	600026,2	600027	80
263	600027,2	600028	80
264	600028,2	600029	80
265	600029,2	600030	80
266	600030,2	600031	80
267	600031,2	600032	80
268	600032,2	600033	80
269	600033,2	600034	80
270	600034,2	600035	80
271	600035,2	600036	80
272	600036,2	600037	80
273	600037,2	600038	80
274	600038,2	600039	80
275	600039,2	600040	80
276	600040,2	600041	80
277	600041,2	600042	80
278	600042,2	600043	80
279	600043,2	600044	80
280	600044,2	600045	80
281	600045,2	600046	80
282	600046,2	600047	80
283	600047,2	600048	80
284	600048,2	600049	80
285	600049,2	600050	80
286	600050,2	600051	80
287	600051,2	600052	80
288	600052,2	600053	80
289	600053,2	600054	80
290	600054,2	600055	80
291	600055,2	600056	80
292	600056,2	600057	80
293	600057,2	600058	80
294	600058,2	600059	80
295	600059,2	600060	80
