id	name	itemLevel	itemType	itemQuality	attack	crit	defense	hitPoint	move	sellPrice	dnaCost	dnaCostadd	attributes	effect
200044	武器44	44	2	0	0	0	0	0	0	480	0	0	1,10|2,1	200044
200045	武器45	45	2	0	0	0	0	0	0	490	0	0	1,10|2,1	200045
200046	武器46	46	2	0	0	0	0	0	0	500	0	0	1,10|2,1	200046
200047	武器47	47	2	0	0	0	0	0	0	510	0	0	1,10|2,1	200047
200048	武器48	48	2	0	0	0	0	0	0	520	0	0	1,10|2,1	200048
200049	武器49	49	2	0	0	0	0	0	0	530	0	0	1,10|2,1	200049
200050	武器50	50	2	0	0	0	0	0	0	540	0	0	1,10|2,1	200050
200051	武器51	51	2	0	0	0	0	0	0	550	0	0	1,10|2,1	200051
200052	武器52	52	2	0	0	0	0	0	0	560	0	0	1,10|2,1	200052
200053	武器53	53	2	0	0	0	0	0	0	570	0	0	1,10|2,1	200053
200054	武器54	54	2	0	0	0	0	0	0	580	0	0	1,10|2,1	200054
200055	武器55	55	2	0	0	0	0	0	0	590	0	0	1,10|2,1	200055
200056	武器56	56	2	0	0	0	0	0	0	600	0	0	1,10|2,1	200056
200057	武器57	57	2	0	0	0	0	0	0	610	0	0	1,10|2,1	200057
200058	武器58	58	2	0	0	0	0	0	0	620	0	0	1,10|2,1	200058
200059	武器59	59	2	0	0	0	0	0	0	630	0	0	1,10|2,1	200059
200060	武器60	60	2	0	0	0	0	0	0	640	0	0	1,10|2,1	200060
300001	普通	1	3	1	0	0	42	0	0	50	0	0	1,10|2,1	0
300002	普通	2	3	1	0	0	62	0	0	60	0	0	1,10|2,1	0
300003	普通	3	3	1	0	0	84	0	0	70	0	0	1,10|2,1	0
300004	普通	4	3	1	0	0	106	0	0	80	0	0	1,10|2,1	0
300005	普通	5	3	1	0	0	130	0	0	90	0	0	1,10|2,1	0
300006	强化	6	3	2	0	0	154	0	0	100	0	0	1,10|2,1	0
300007	强化	7	3	2	0	0	178	0	0	110	0	0	1,10|2,1	0
300008	强化	8	3	2	0	0	204	0	0	120	0	0	1,10|2,1	0
300009	强化	9	3	2	0	0	230	0	0	130	0	0	1,10|2,1	0
300010	强化	10	3	2	0	0	256	0	0	140	0	0	1,10|2,1	0
300011	精致	11	3	3	0	0	284	0	0	150	0	0	1,10|2,1	0
300012	精致	12	3	3	0	0	312	0	0	160	0	0	1,10|2,1	0
300013	精致	13	3	3	0	0	340	0	0	170	0	0	1,10|2,1	0
300014	精致	14	3	3	0	0	368	0	0	180	0	0	1,10|2,1	0
300015	精致	15	3	3	0	0	396	0	0	190	0	0	1,10|2,1	0
300016	稀有	16	3	4	0	0	426	0	0	200	0	0	1,10|2,1	0
300017	稀有	17	3	4	0	0	456	0	0	210	0	0	1,10|2,1	0
300018	稀有	18	3	4	0	0	486	0	0	220	0	0	1,10|2,1	0
300019	稀有	19	3	4	0	0	516	0	0	230	0	0	1,10|2,1	0
300020	稀有	20	3	4	0	0	548	0	0	240	0	0	1,10|2,1	0
300021	罕见	21	3	5	0	0	580	0	0	250	0	0	1,10|2,1	0
300022	罕见	22	3	5	0	0	612	0	0	260	0	0	1,10|2,1	0
300023	罕见	23	3	5	0	0	644	0	0	270	0	0	1,10|2,1	0
300024	罕见	24	3	5	0	0	678	0	0	280	0	0	1,10|2,1	0
300025	罕见	25	3	5	0	0	712	0	0	290	0	0	1,10|2,1	0
300026	史诗	26	3	6	0	0	746	0	0	300	0	0	1,10|2,1	0
300027	史诗	27	3	6	0	0	780	0	0	310	0	0	1,10|2,1	0
300028	史诗	28	3	6	0	0	816	0	0	320	0	0	1,10|2,1	0
300029	史诗	29	3	6	0	0	0	0	0	330	0	0	1,10|2,1	0
300030	史诗	30	3	6	0	0	0	0	0	340	0	0	1,10|2,1	0
300031	头盔31	31	3	0	0	0	0	0	0	350	0	0	1,10|2,1	0
300032	头盔32	32	3	0	0	0	0	0	0	360	0	0	1,10|2,1	0
300033	头盔33	33	3	0	0	0	0	0	0	370	0	0	1,10|2,1	0
300034	头盔34	34	3	0	0	0	0	0	0	380	0	0	1,10|2,1	0
300035	头盔35	35	3	0	0	0	0	0	0	390	0	0	1,10|2,1	0
300036	头盔36	36	3	0	0	0	0	0	0	400	0	0	1,10|2,1	0
300037	头盔37	37	3	0	0	0	0	0	0	410	0	0	1,10|2,1	0
300038	头盔38	38	3	0	0	0	0	0	0	420	0	0	1,10|2,1	0
300039	头盔39	39	3	0	0	0	0	0	0	430	0	0	1,10|2,1	0
300040	头盔40	40	3	0	0	0	0	0	0	440	0	0	1,10|2,1	0
300041	头盔41	41	3	0	0	0	0	0	0	450	0	0	1,10|2,1	0
300042	头盔42	42	3	0	0	0	0	0	0	460	0	0	1,10|2,1	0
300043	头盔43	43	3	0	0	0	0	0	0	470	0	0	1,10|2,1	0
300044	头盔44	44	3	0	0	0	0	0	0	480	0	0	1,10|2,1	0
300045	头盔45	45	3	0	0	0	0	0	0	490	0	0	1,10|2,1	0
300046	头盔46	46	3	0	0	0	0	0	0	500	0	0	1,10|2,1	0
300047	头盔47	47	3	0	0	0	0	0	0	510	0	0	1,10|2,1	0
300048	头盔48	48	3	0	0	0	0	0	0	520	0	0	1,10|2,1	0
300049	头盔49	49	3	0	0	0	0	0	0	530	0	0	1,10|2,1	0
300050	头盔50	50	3	0	0	0	0	0	0	540	0	0	1,10|2,1	0
300051	头盔51	51	3	0	0	0	0	0	0	550	0	0	1,10|2,1	0
300052	头盔52	52	3	0	0	0	0	0	0	560	0	0	1,10|2,1	0
300053	头盔53	53	3	0	0	0	0	0	0	570	0	0	1,10|2,1	0
300054	头盔54	54	3	0	0	0	0	0	0	580	0	0	1,10|2,1	0
300055	头盔55	55	3	0	0	0	0	0	0	590	0	0	1,10|2,1	0
300056	头盔56	56	3	0	0	0	0	0	0	600	0	0	1,10|2,1	0
300057	头盔57	57	3	0	0	0	0	0	0	610	0	0	1,10|2,1	0
300058	头盔58	58	3	0	0	0	0	0	0	620	0	0	1,10|2,1	0
300059	头盔59	59	3	0	0	0	0	0	0	630	0	0	1,10|2,1	0
300060	头盔60	60	3	0	0	0	0	0	0	640	0	0	1,10|2,1	0
400001	普通	1	4	1	0	0	0	894	0	50	0	0	1,10|2,1	0
400002	普通	2	4	1	0	0	0	1266	0	60	0	0	1,10|2,1	0
400003	普通	3	4	1	0	0	0	1665	0	70	0	0	1,10|2,1	0
400004	普通	4	4	1	0	0	0	2084	0	80	0	0	1,10|2,1	0
400005	普通	5	4	1	0	0	0	2520	0	90	0	0	1,10|2,1	0
400006	强化	6	4	2	0	0	0	2970	0	100	0	0	1,10|2,1	0
400007	强化	7	4	2	0	0	0	3435	0	110	0	0	1,10|2,1	0
400008	强化	8	4	2	0	0	0	3911	0	120	0	0	1,10|2,1	0
400009	强化	9	4	2	0	0	0	4397	0	130	0	0	1,10|2,1	0
400010	强化	10	4	2	0	0	0	4893	0	140	0	0	1,10|2,1	0
400011	精致	11	4	3	0	0	0	5399	0	150	0	0	1,10|2,1	0
400012	精致	12	4	3	0	0	0	5913	0	160	0	0	1,10|2,1	0
400013	精致	13	4	3	0	0	0	6435	0	170	0	0	1,10|2,1	0
400014	精致	14	4	3	0	0	0	6965	0	180	0	0	1,10|2,1	0
400015	精致	15	4	3	0	0	0	7502	0	190	0	0	1,10|2,1	0
400016	稀有	16	4	4	0	0	0	8045	0	200	0	0	1,10|2,1	0
400017	稀有	17	4	4	0	0	0	8945	0	210	0	0	1,10|2,1	0
400018	稀有	18	4	4	0	0	0	9865	0	220	0	0	1,10|2,1	0
400019	稀有	19	4	4	0	0	0	10805	0	230	0	0	1,10|2,1	0
400020	稀有	20	4	4	0	0	0	11765	0	240	0	0	1,10|2,1	0
400021	罕见	21	4	5	0	0	0	12745	0	250	0	0	1,10|2,1	0
400022	罕见	22	4	5	0	0	0	13745	0	260	0	0	1,10|2,1	0
400023	罕见	23	4	5	0	0	0	14765	0	270	0	0	1,10|2,1	0
400024	罕见	24	4	5	0	0	0	15805	0	280	0	0	1,10|2,1	0
400025	罕见	25	4	5	0	0	0	16865	0	290	0	0	1,10|2,1	0
400026	史诗	26	4	6	0	0	0	17945	0	300	0	0	1,10|2,1	0
400027	史诗	27	4	6	0	0	0	19045	0	310	0	0	1,10|2,1	0
400028	史诗	28	4	6	0	0	0	20165	0	320	0	0	1,10|2,1	0
400029	史诗	29	4	6	0	0	0	0	0	330	0	0	1,10|2,1	0
400030	史诗	30	4	6	0	0	0	0	0	340	0	0	1,10|2,1	0
400031	盔甲31	31	4	0	0	0	0	0	0	350	0	0	1,10|2,1	0
400032	盔甲32	32	4	0	0	0	0	0	0	360	0	0	1,10|2,1	0
400033	盔甲33	33	4	0	0	0	0	0	0	370	0	0	1,10|2,1	0
400034	盔甲34	34	4	0	0	0	0	0	0	380	0	0	1,10|2,1	0
400035	盔甲35	35	4	0	0	0	0	0	0	390	0	0	1,10|2,1	0
400036	盔甲36	36	4	0	0	0	0	0	0	400	0	0	1,10|2,1	0
400037	盔甲37	37	4	0	0	0	0	0	0	410	0	0	1,10|2,1	0
400038	盔甲38	38	4	0	0	0	0	0	0	420	0	0	1,10|2,1	0
400039	盔甲39	39	4	0	0	0	0	0	0	430	0	0	1,10|2,1	0
400040	盔甲40	40	4	0	0	0	0	0	0	440	0	0	1,10|2,1	0
400041	盔甲41	41	4	0	0	0	0	0	0	450	0	0	1,10|2,1	0
400042	盔甲42	42	4	0	0	0	0	0	0	460	0	0	1,10|2,1	0
400043	盔甲43	43	4	0	0	0	0	0	0	470	0	0	1,10|2,1	0
400044	盔甲44	44	4	0	0	0	0	0	0	480	0	0	1,10|2,1	0
400045	盔甲45	45	4	0	0	0	0	0	0	490	0	0	1,10|2,1	0
400046	盔甲46	46	4	0	0	0	0	0	0	500	0	0	1,10|2,1	0
400047	盔甲47	47	4	0	0	0	0	0	0	510	0	0	1,10|2,1	0
400048	盔甲48	48	4	0	0	0	0	0	0	520	0	0	1,10|2,1	0
400049	盔甲49	49	4	0	0	0	0	0	0	530	0	0	1,10|2,1	0
400050	盔甲50	50	4	0	0	0	0	0	0	540	0	0	1,10|2,1	0
400051	盔甲51	51	4	0	0	0	0	0	0	550	0	0	1,10|2,1	0
400052	盔甲52	52	4	0	0	0	0	0	0	560	0	0	1,10|2,1	0
400053	盔甲53	53	4	0	0	0	0	0	0	570	0	0	1,10|2,1	0
400054	盔甲54	54	4	0	0	0	0	0	0	580	0	0	1,10|2,1	0
400055	盔甲55	55	4	0	0	0	0	0	0	590	0	0	1,10|2,1	0
400056	盔甲56	56	4	0	0	0	0	0	0	600	0	0	1,10|2,1	0
400057	盔甲57	57	4	0	0	0	0	0	0	610	0	0	1,10|2,1	0
400058	盔甲58	58	4	0	0	0	0	0	0	620	0	0	1,10|2,1	0
400059	盔甲59	59	4	0	0	0	0	0	0	630	0	0	1,10|2,1	0
400060	盔甲60	60	4	0	0	0	0	0	0	640	0	0	1,10|2,1	0
500001	普通	1	5	1	0	0	0	0	9	50	0	0	1,10|2,1	0
500002	普通	2	5	1	0	0	0	0	11	60	0	0	1,10|2,1	0
500003	普通	3	5	1	0	0	0	0	14	70	0	0	1,10|2,1	0
500004	普通	4	5	1	0	0	0	0	17	80	0	0	1,10|2,1	0
500005	普通	5	5	1	0	0	0	0	20	90	0	0	1,10|2,1	0
500006	强化	6	5	2	0	0	0	0	23	100	0	0	1,10|2,1	0
500007	强化	7	5	2	0	0	0	0	26	110	0	0	1,10|2,1	0
500008	强化	8	5	2	0	0	0	0	29	120	0	0	1,10|2,1	0
500009	强化	9	5	2	0	0	0	0	32	130	0	0	1,10|2,1	0
500010	强化	10	5	2	0	0	0	0	35	140	0	0	1,10|2,1	0
500011	精致	11	5	3	0	0	0	0	38	150	0	0	1,10|2,1	0
500012	精致	12	5	3	0	0	0	0	42	160	0	0	1,10|2,1	0
500013	精致	13	5	3	0	0	0	0	45	170	0	0	1,10|2,1	0
500014	精致	14	5	3	0	0	0	0	48	180	0	0	1,10|2,1	0
500015	精致	15	5	3	0	0	0	0	52	190	0	0	1,10|2,1	0
500016	稀有	16	5	4	0	0	0	0	55	200	0	0	1,10|2,1	0
500017	稀有	17	5	4	0	0	0	0	58	210	0	0	1,10|2,1	0
500018	稀有	18	5	4	0	0	0	0	61	220	0	0	1,10|2,1	0
500019	稀有	19	5	4	0	0	0	0	64	230	0	0	1,10|2,1	0
500020	稀有	20	5	4	0	0	0	0	67	240	0	0	1,10|2,1	0
500021	罕见	21	5	5	0	0	0	0	70	250	0	0	1,10|2,1	0
500022	罕见	22	5	5	0	0	0	0	73	260	0	0	1,10|2,1	0
500023	罕见	23	5	5	0	0	0	0	76	270	0	0	1,10|2,1	0
500024	罕见	24	5	5	0	0	0	0	79	280	0	0	1,10|2,1	0
500025	罕见	25	5	5	0	0	0	0	82	290	0	0	1,10|2,1	0
500026	史诗	26	5	6	0	0	0	0	85	300	0	0	1,10|2,1	0
500027	史诗	27	5	6	0	0	0	0	88	310	0	0	1,10|2,1	0
500028	史诗	28	5	6	0	0	0	0	91	320	0	0	1,10|2,1	0
500029	史诗	29	5	6	0	0	0	0	0	330	0	0	1,10|2,1	0
500030	史诗	30	5	6	0	0	0	0	0	340	0	0	1,10|2,1	0
500031	坐骑31	31	5	0	0	0	0	0	0	350	0	0	1,10|2,1	0
500032	坐骑32	32	5	0	0	0	0	0	0	360	0	0	1,10|2,1	0
500033	坐骑33	33	5	0	0	0	0	0	0	370	0	0	1,10|2,1	0
500034	坐骑34	34	5	0	0	0	0	0	0	380	0	0	1,10|2,1	0
500035	坐骑35	35	5	0	0	0	0	0	0	390	0	0	1,10|2,1	0
500036	坐骑36	36	5	0	0	0	0	0	0	400	0	0	1,10|2,1	0
500037	坐骑37	37	5	0	0	0	0	0	0	410	0	0	1,10|2,1	0
500038	坐骑38	38	5	0	0	0	0	0	0	420	0	0	1,10|2,1	0
500039	坐骑39	39	5	0	0	0	0	0	0	430	0	0	1,10|2,1	0
500040	坐骑40	40	5	0	0	0	0	0	0	440	0	0	1,10|2,1	0
500041	坐骑41	41	5	0	0	0	0	0	0	450	0	0	1,10|2,1	0
500042	坐骑42	42	5	0	0	0	0	0	0	460	0	0	1,10|2,1	0
500043	坐骑43	43	5	0	0	0	0	0	0	470	0	0	1,10|2,1	0
500044	坐骑44	44	5	0	0	0	0	0	0	480	0	0	1,10|2,1	0
500045	坐骑45	45	5	0	0	0	0	0	0	490	0	0	1,10|2,1	0
500046	坐骑46	46	5	0	0	0	0	0	0	500	0	0	1,10|2,1	0
500047	坐骑47	47	5	0	0	0	0	0	0	510	0	0	1,10|2,1	0
500048	坐骑48	48	5	0	0	0	0	0	0	520	0	0	1,10|2,1	0
500049	坐骑49	49	5	0	0	0	0	0	0	530	0	0	1,10|2,1	0
500050	坐骑50	50	5	0	0	0	0	0	0	540	0	0	1,10|2,1	0
500051	坐骑51	51	5	0	0	0	0	0	0	550	0	0	1,10|2,1	0
500052	坐骑52	52	5	0	0	0	0	0	0	560	0	0	1,10|2,1	0
500053	坐骑53	53	5	0	0	0	0	0	0	570	0	0	1,10|2,1	0
500054	坐骑54	54	5	0	0	0	0	0	0	580	0	0	1,10|2,1	0
500055	坐骑55	55	5	0	0	0	0	0	0	590	0	0	1,10|2,1	0
500056	坐骑56	56	5	0	0	0	0	0	0	600	0	0	1,10|2,1	0
500057	坐骑57	57	5	0	0	0	0	0	0	610	0	0	1,10|2,1	0
500058	坐骑58	58	5	0	0	0	0	0	0	620	0	0	1,10|2,1	0
500059	坐骑59	59	5	0	0	0	0	0	0	630	0	0	1,10|2,1	0
500060	坐骑60	60	5	0	0	0	0	0	0	640	0	0	1,10|2,1	0
600001	普通	1	6	1	0	5	0	0	0	50	0	0	1,10|2,1	0
600002	普通	2	6	1	0	10	0	0	0	60	0	0	1,10|2,1	0
600003	普通	3	6	1	0	15	0	0	0	70	0	0	1,10|2,1	0
600004	普通	4	6	1	0	20	0	0	0	80	0	0	1,10|2,1	0
600005	普通	5	6	1	0	25	0	0	0	90	0	0	1,10|2,1	0
600006	强化	6	6	2	0	30	0	0	0	100	0	0	1,10|2,1	0
600007	强化	7	6	2	0	35	0	0	0	110	0	0	1,10|2,1	0
600008	强化	8	6	2	0	40	0	0	0	120	0	0	1,10|2,1	0
600009	强化	9	6	2	0	45	0	0	0	130	0	0	1,10|2,1	0
600010	强化	10	6	2	0	50	0	0	0	140	0	0	1,10|2,1	0
600011	精致	11	6	3	0	55	0	0	0	150	0	0	1,10|2,1	0
600012	精致	12	6	3	0	60	0	0	0	160	0	0	1,10|2,1	0
600013	精致	13	6	3	0	65	0	0	0	170	0	0	1,10|2,1	0
600014	精致	14	6	3	0	70	0	0	0	180	0	0	1,10|2,1	0
600015	精致	15	6	3	0	75	0	0	0	190	0	0	1,10|2,1	0
600016	稀有	16	6	4	0	80	0	0	0	200	0	0	1,10|2,1	0
600017	稀有	17	6	4	0	85	0	0	0	210	0	0	1,10|2,1	0
600018	稀有	18	6	4	0	90	0	0	0	220	0	0	1,10|2,1	0
600019	稀有	19	6	4	0	95	0	0	0	230	0	0	1,10|2,1	0
600020	稀有	20	6	4	0	100	0	0	0	240	0	0	1,10|2,1	0
600021	罕见	21	6	5	0	105	0	0	0	250	0	0	1,10|2,1	0
600022	罕见	22	6	5	0	110	0	0	0	260	0	0	1,10|2,1	0
600023	罕见	23	6	5	0	115	0	0	0	270	0	0	1,10|2,1	0
600024	罕见	24	6	5	0	120	0	0	0	280	0	0	1,10|2,1	0
600025	罕见	25	6	5	0	125	0	0	0	290	0	0	1,10|2,1	0
600026	史诗	26	6	6	0	130	0	0	0	300	0	0	1,10|2,1	0
600027	史诗	27	6	6	0	135	0	0	0	310	0	0	1,10|2,1	0
600028	史诗	28	6	6	0	140	0	0	0	320	0	0	1,10|2,1	0
600029	史诗	29	6	6	0	145	0	0	0	330	0	0	1,10|2,1	0
600030	史诗	30	6	6	0	150	0	0	0	340	0	0	1,10|2,1	0
600031	宠物31	31	6	0	0	0	0	0	0	350	0	0	1,10|2,1	0
600032	宠物32	32	6	0	0	0	0	0	0	360	0	0	1,10|2,1	0
600033	宠物33	33	6	0	0	0	0	0	0	370	0	0	1,10|2,1	0
600034	宠物34	34	6	0	0	0	0	0	0	380	0	0	1,10|2,1	0
600035	宠物35	35	6	0	0	0	0	0	0	390	0	0	1,10|2,1	0
600036	宠物36	36	6	0	0	0	0	0	0	400	0	0	1,10|2,1	0
600037	宠物37	37	6	0	0	0	0	0	0	410	0	0	1,10|2,1	0
600038	宠物38	38	6	0	0	0	0	0	0	420	0	0	1,10|2,1	0
600039	宠物39	39	6	0	0	0	0	0	0	430	0	0	1,10|2,1	0
600040	宠物40	40	6	0	0	0	0	0	0	440	0	0	1,10|2,1	0
600041	宠物41	41	6	0	0	0	0	0	0	450	0	0	1,10|2,1	0
600042	宠物42	42	6	0	0	0	0	0	0	460	0	0	1,10|2,1	0
600043	宠物43	43	6	0	0	0	0	0	0	470	0	0	1,10|2,1	0
600044	宠物44	44	6	0	0	0	0	0	0	480	0	0	1,10|2,1	0
600045	宠物45	45	6	0	0	0	0	0	0	490	0	0	1,10|2,1	0
600046	宠物46	46	6	0	0	0	0	0	0	500	0	0	1,10|2,1	0
600047	宠物47	47	6	0	0	0	0	0	0	510	0	0	1,10|2,1	0
600048	宠物48	48	6	0	0	0	0	0	0	520	0	0	1,10|2,1	0
600049	宠物49	49	6	0	0	0	0	0	0	530	0	0	1,10|2,1	0
600050	宠物50	50	6	0	0	0	0	0	0	540	0	0	1,10|2,1	0
600051	宠物51	51	6	0	0	0	0	0	0	550	0	0	1,10|2,1	0
600052	宠物52	52	6	0	0	0	0	0	0	560	0	0	1,10|2,1	0
600053	宠物53	53	6	0	0	0	0	0	0	570	0	0	1,10|2,1	0
600054	宠物54	54	6	0	0	0	0	0	0	580	0	0	1,10|2,1	0
600055	宠物55	55	6	0	0	0	0	0	0	590	0	0	1,10|2,1	0
600056	宠物56	56	6	0	0	0	0	0	0	600	0	0	1,10|2,1	0
600057	宠物57	57	6	0	0	0	0	0	0	610	0	0	1,10|2,1	0
600058	宠物58	58	6	0	0	0	0	0	0	620	0	0	1,10|2,1	0
600059	宠物59	59	6	0	0	0	0	0	0	630	0	0	1,10|2,1	0
600060	宠物60	60	6	0	0	0	0	0	0	640	0	0	1,10|2,1	0
700001	宠物蛋	1	0	0	0	0	0	0	0	0	0	0	0	0
700002	普通宝箱	1	0	0	0	0	0	0	0	0	0	0	0	0
700003	视频宝箱	1	0	0	0	0	0	0	0	0	0	0	0	0
700004	金币宝箱	1	0	0	0	0	0	0	0	0	0	0	0	0
700005	飞行	1	0	0	0	0	0	0	0	0	0	0	0	0
700006	攻击	1	0	0	0	0	0	0	0	0	0	0	0	3
700007	暴击	1	0	0	0	0	0	0	0	0	0	0	0	4
700008	防御	1	0	0	0	0	0	0	0	0	0	0	0	5
700006	速度	1	0	0	0	0	0	0	0	0	0	0	0	6
