id	enemyLevel	enemyHp	enemyAttk	enemymode	skillId
20162	23	7236	1288	20010	0
20163	23	7236	1288	20020	0
20164	23	9648	1288	20021	0
20165	23	9648	1288	20024	0
20166	23	9648	1288	20025	0
20167	23	36180	1288	20016	0
20168	24	7596	1356	20012	0
20169	24	7596	1356	20013	0
20170	24	7596	1356	20017	0
20171	24	10128	1356	20018	0
20172	24	10128	1356	20026	0
20173	24	10128	1356	20027	0
20174	24	37980	1356	20022	0
20175	25	7965	1424	20031	0
20176	25	7965	1424	20032	0
20177	25	7965	1424	20033	0
20178	25	10620	1424	20035	0
20179	25	10620	1424	20055	0
20180	25	10620	1424	20061	0
20181	25	39825	1424	20023	0
20182	26	8334	1492	20078	0
20183	26	8334	1492	20069	0
20184	26	8334	1492	20062	0
20185	26	11112	1492	20037	0
20186	26	11112	1492	20063	0
20187	26	11112	1492	20064	0
20188	26	41670	1492	20028	0
20189	27	8712	1560	20080	0
20190	27	8712	1560	20036	0
20191	27	8712	1560	20065	0
20192	27	11616	1560	20038	0
20193	27	11616	1560	20079	0
20194	27	11616	1560	20040	0
20195	27	43560	1560	20029	0
20196	28	9090	1632	20067	0
20197	28	9090	1632	20044	0
20198	28	9090	1632	20045	0
20199	28	12120	1632	20050	0
20200	28	12120	1632	20051	0
20201	28	12120	1632	20052	0
20202	28	45450	1632	20079	0
20203	29	9477	1702	20041	0
20204	29	9477	1702	20042	0
20205	29	9477	1702	20043	0
20206	29	12636	1702	20059	0
20207	29	12636	1702	20060	0
20208	29	12636	1702	20076	0
20209	29	48450	1702	20067	0
20210	30	9864	1776	20066	0
20211	30	9864	1776	20046	0
20212	30	9864	1776	20053	0
20213	30	13152	1776	20010	0
20214	30	13152	1776	20005	0
20215	30	13152	1776	20011	0
20216	30	53450	1776	20054	0
